airport,country,state,city,icao,iata,elevation_ft,latitude,longitude
Seattle–Tacoma International Airport,US,WA,Seattle,KSEA,SEA,433,47.447943,-122.310276
Orlando Sanford International Airport,US,FL,Orlando,KSFB,SFB,55,28.777599334716797,-81.23750305175781
San Francisco International Airport,US,CA,San Francisco,KSFO,SFO,13,37.619806,-122.374821
Norman Y. Mineta San Jose International Airport,US,CA,San Jose,KSJC,SJC,62,37.362452,-121.929188
Salt Lake City International Airport,US,UT,Salt Lake City,KSLC,SLC,4227,40.78886,-111.979866
Sacramento International Airport,US,CA,Sacramento,KSMF,SMF,27,38.6954,-121.591003
John Wayne Orange County International Airport,US,CA,Santa Ana,KSNA,SNA,56,33.675701,-117.867996
Sarasota Bradenton International Airport,US,FL,Sarasota/Bradenton,KSRQ,SRQ,30,27.394631,-82.554359
St. Louis Lambert International Airport,US,MO,St Louis,KSTL,STL,618,38.748697,-90.370003
Syracuse Hancock International Airport,US,NY,Syracuse,KSYR,SYR,421,43.11119842529297,-76.1063003540039
Tampa International Airport,US,FL,Tampa,KTPA,TPA,26,27.9755,-82.533203
Tulsa International Airport,US,OK,Tulsa,KTUL,TUL,677,36.19839859008789,-95.88809967041016
Ted Stevens Anchorage International Airport,US,AK,Anchorage,PANC,ANC,152,61.179004,-149.992561
Daniel K Inouye International Airport,US,HI,"Honolulu, Oahu",PHNL,HNL,13,21.32062,-157.924228
Kahului International Airport,US,HI,Kahului,PHOG,OGG,54,20.896263,-156.431837
